filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics,run
baseline_random_0919_2123,random,dorothea_500_1000,,,,,0.002,250.344,0.002,0.002,0.0,0.004,0.005,0.009,,bs_500_1000_fr
baseline_smallestSuperset_0919_2123,smallestSuperset,dorothea_500_1000,,,,,0.0,258.417,0.002,0.002,0.002,0.002,0.01,0.016,,bs_500_1000_fr
gat_0919_2018,gat,dorothea_500_1000,500.0,202.0,1.0,0.524,0.005,239.165,0.019,0.019,0.01,0.042,0.012,0.015,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 7919, 'times_true_source': 38, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 397.474, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 7919, 'times_true_source': 39, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 450.872, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 7919, 'times_true_source': 37, 'times_predicted_source': 770, 'correct_predictions': 17, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 17.0, 'avg_prob_when_true': 0.026, 'in_top3_when_true': 18, 'in_top5_when_true': 18, 'accuracy_when_true': 0.459, 'precision': 0.022, 'recall': 0.459, 'f1_score': 0.042}}",bs_500_1000_fr
pdgrapher_0919_2037,pdgrapher,dorothea_500_1000,500.0,202.0,1.0,0.524,0.113,70.711,1.072,-0.478,-3.584,13.624,0.187,0.226,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 7919, 'times_true_source': 38, 'times_predicted_source': 129, 'correct_predictions': 2, 'avg_prediction_prob': 0.214, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 40.632, 'avg_prob_when_true': 1.062, 'in_top3_when_true': 9, 'in_top5_when_true': 9, 'accuracy_when_true': 0.053, 'precision': 0.016, 'recall': 0.053, 'f1_score': 0.024}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 7919, 'times_true_source': 39, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.161, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 60.333, 'avg_prob_when_true': 0.174, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 7919, 'times_true_source': 37, 'times_predicted_source': 100, 'correct_predictions': 22, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 4.514, 'avg_prob_when_true': 4.283, 'in_top3_when_true': 26, 'in_top5_when_true': 31, 'accuracy_when_true': 0.595, 'precision': 0.22, 'recall': 0.595, 'f1_score': 0.321}}",bs_500_1000_fr
baseline_advanced_random_0919_2030,advanced_random,dorothea_500_1000,,,,,0.001,245.998,0.002,0.002,0.0,0.011,0.005,0.01,,bs_500_1000_rd
baseline_jordan_0919_2030,jordan,dorothea_500_1000,,,,,0.002,258.759,0.002,0.002,0.0,1.0,0.011,0.014,,bs_500_1000_rd
baseline_overlap_0919_2030,overlap,dorothea_500_1000,,,,,0.007,250.184,0.003,0.002,0.0,1.0,0.012,0.014,,bs_500_1000_rd
baseline_random_0919_2030,random,dorothea_500_1000,,,,,0.002,250.625,0.002,0.002,0.0,0.004,0.006,0.009,,bs_500_1000_rd
baseline_smallestSuperset_0919_2030,smallestSuperset,dorothea_500_1000,,,,,0.0,254.894,0.002,0.002,0.0,1.0,0.014,0.02,,bs_500_1000_rd
gat_0919_2100,gat,dorothea_500_1000,500.0,202.0,1.0,0.539,0.006,230.249,0.02,0.02,0.006,0.034,0.009,0.014,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 3936, 'times_true_source': 17, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 55.294, 'avg_prob_when_true': 0.022, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 3936, 'times_true_source': 10, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 198.2, 'avg_prob_when_true': 0.021, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 3936, 'times_true_source': 28, 'times_predicted_source': 75, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 291.929, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",bs_500_1000_rd
pdgrapher_0919_1834,pdgrapher,dorothea_500_1000,500.0,202.0,1.0,0.539,0.012,89.914,0.249,-0.297,-2.931,1.22,0.036,0.057,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 3936, 'times_true_source': 17, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': -0.025, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 131.176, 'avg_prob_when_true': 0.113, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 3936, 'times_true_source': 10, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.069, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 139.7, 'avg_prob_when_true': 0.111, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 3936, 'times_true_source': 28, 'times_predicted_source': 638, 'correct_predictions': 10, 'avg_prediction_prob': 0.506, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 11.75, 'avg_prob_when_true': 0.763, 'in_top3_when_true': 19, 'in_top5_when_true': 24, 'accuracy_when_true': 0.357, 'precision': 0.016, 'recall': 0.357, 'f1_score': 0.03}}",bs_500_1000_rd
baseline_advanced_random_0919_2113,advanced_random,dorothea_500_1000,,,,,0.002,250.625,0.002,0.002,0.0,0.004,0.006,0.009,,bs_500_1000_rd_fr
baseline_jordan_0919_2113,jordan,dorothea_500_1000,,,,,0.002,267.807,0.003,0.002,0.0,1.0,0.008,0.011,,bs_500_1000_rd_fr
baseline_overlap_0919_2113,overlap,dorothea_500_1000,,,,,0.0,257.205,0.002,0.002,0.002,0.002,0.014,0.021,,bs_500_1000_rd_fr
baseline_random_0919_2113,random,dorothea_500_1000,,,,,0.002,250.625,0.002,0.002,0.0,0.004,0.006,0.009,,bs_500_1000_rd_fr
baseline_smallestSuperset_0919_2113,smallestSuperset,dorothea_500_1000,,,,,0.0,257.205,0.002,0.002,0.002,0.002,0.014,0.021,,bs_500_1000_rd_fr
gat_0919_2050,gat,dorothea_500_1000,500.0,202.0,1.0,0.539,0.004,240.832,0.019,0.019,0.012,0.036,0.013,0.025,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 3936, 'times_true_source': 17, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 220.882, 'avg_prob_when_true': 0.019, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 3936, 'times_true_source': 10, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 179.8, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 3936, 'times_true_source': 28, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 435.964, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",bs_500_1000_rd_fr
pdgrapher_0919_1832,pdgrapher,dorothea_500_1000,500.0,202.0,1.0,0.539,0.013,80.998,0.492,-0.526,-3.8,2.991,0.04,0.064,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 3936, 'times_true_source': 17, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.168, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 106.588, 'avg_prob_when_true': 0.337, 'in_top3_when_true': 0, 'in_top5_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 3936, 'times_true_source': 10, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.165, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 154.4, 'avg_prob_when_true': 0.118, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 3936, 'times_true_source': 28, 'times_predicted_source': 291, 'correct_predictions': 4, 'avg_prediction_prob': 0.53, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 28.821, 'avg_prob_when_true': 1.396, 'in_top3_when_true': 15, 'in_top5_when_true': 17, 'accuracy_when_true': 0.143, 'precision': 0.014, 'recall': 0.143, 'f1_score': 0.025}}",bs_500_1000_rd_fr
baseline_advanced_random_0919_2055,advanced_random,dorothea_500_600,,,,,0.002,247.426,0.002,0.002,0.0,0.013,0.007,0.01,,bs_500_600
baseline_jordan_0919_2055,jordan,dorothea_500_600,,,,,0.001,271.502,0.001,0.002,0.0,1.0,0.002,0.002,,bs_500_600
baseline_overlap_0919_2055,overlap,dorothea_500_600,,,,,0.0,266.735,0.002,0.002,0.0,1.0,0.005,0.005,,bs_500_600
baseline_random_0919_2055,random,dorothea_500_600,,,,,0.003,249.34,0.002,0.002,0.0,0.004,0.006,0.009,,bs_500_600
baseline_smallestSuperset_0919_2055,smallestSuperset,dorothea_500_600,,,,,0.0,263.845,0.001,0.002,0.0,1.0,0.0,0.006,,bs_500_600
gat_0919_2117,gat,dorothea_500_600,500.0,183.0,1.0,0.225,0.007,211.197,0.019,0.019,0.012,0.041,0.017,0.021,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 9516, 'times_true_source': 51, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 207.608, 'avg_prob_when_true': 0.019, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 9516, 'times_true_source': 70, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 180.371, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 9516, 'times_true_source': 49, 'times_predicted_source': 3703, 'correct_predictions': 49, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 0.0, 'avg_prob_when_true': 0.025, 'in_top3_when_true': 49, 'in_top5_when_true': 49, 'accuracy_when_true': 1.0, 'precision': 0.013, 'recall': 1.0, 'f1_score': 0.026}}",bs_500_600
pdgrapher_0919_2158,pdgrapher,dorothea_500_600,500.0,183.0,1.0,0.225,0.374,77.496,3.061,-5.235,-192.274,25.199,0.527,0.594,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 9516, 'times_true_source': 51, 'times_predicted_source': 26, 'correct_predictions': 12, 'avg_prediction_prob': -5.711, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 148.471, 'avg_prob_when_true': 0.656, 'in_top3_when_true': 19, 'in_top5_when_true': 23, 'accuracy_when_true': 0.235, 'precision': 0.462, 'recall': 0.235, 'f1_score': 0.312}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 9516, 'times_true_source': 70, 'times_predicted_source': 26, 'correct_predictions': 17, 'avg_prediction_prob': -5.6, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 88.629, 'avg_prob_when_true': 2.521, 'in_top3_when_true': 37, 'in_top5_when_true': 44, 'accuracy_when_true': 0.243, 'precision': 0.654, 'recall': 0.243, 'f1_score': 0.354}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 9516, 'times_true_source': 49, 'times_predicted_source': 61, 'correct_predictions': 37, 'avg_prediction_prob': -4.134, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 0.571, 'avg_prob_when_true': 8.532, 'in_top3_when_true': 42, 'in_top5_when_true': 48, 'accuracy_when_true': 0.755, 'precision': 0.607, 'recall': 0.755, 'f1_score': 0.673}}",bs_500_600
baseline_advanced_random_0919_2220,advanced_random,dorothea_500_600,,,,,0.003,249.34,0.002,0.002,0.0,0.004,0.006,0.009,,bs_500_600_fr
baseline_jordan_0919_2220,jordan,dorothea_500_600,,,,,0.0,269.081,0.001,0.002,0.0,1.0,0.001,0.003,,bs_500_600_fr
baseline_overlap_0919_2220,overlap,dorothea_500_600,,,,,0.0,262.937,0.002,0.002,0.002,0.002,0.0,0.006,,bs_500_600_fr
baseline_random_0919_2220,random,dorothea_500_600,,,,,0.003,249.34,0.002,0.002,0.0,0.004,0.006,0.009,,bs_500_600_fr
baseline_smallestSuperset_0919_2220,smallestSuperset,dorothea_500_600,,,,,0.0,262.937,0.002,0.002,0.002,0.002,0.0,0.006,,bs_500_600_fr
gat_0919_2141,gat,dorothea_500_600,500.0,183.0,1.0,0.225,0.007,217.04,0.02,0.019,0.009,0.046,0.017,0.022,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 9516, 'times_true_source': 51, 'times_predicted_source': 2, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 236.412, 'avg_prob_when_true': 0.019, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 9516, 'times_true_source': 70, 'times_predicted_source': 7, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 162.614, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 9516, 'times_true_source': 49, 'times_predicted_source': 3709, 'correct_predictions': 49, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 0.0, 'avg_prob_when_true': 0.028, 'in_top3_when_true': 49, 'in_top5_when_true': 49, 'accuracy_when_true': 1.0, 'precision': 0.013, 'recall': 1.0, 'f1_score': 0.026}}",bs_500_600_fr
pdgrapher_0919_2206,pdgrapher,dorothea_500_600,500.0,183.0,1.0,0.225,0.114,135.547,-0.718,-3.596,-9.782,14.156,0.213,0.263,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 9516, 'times_true_source': 51, 'times_predicted_source': 6, 'correct_predictions': 0, 'avg_prediction_prob': -3.357, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 150.078, 'avg_prob_when_true': -2.679, 'in_top3_when_true': 0, 'in_top5_when_true': 4, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 9516, 'times_true_source': 70, 'times_predicted_source': 20, 'correct_predictions': 6, 'avg_prediction_prob': -3.301, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 192.929, 'avg_prob_when_true': -1.977, 'in_top3_when_true': 9, 'in_top5_when_true': 11, 'accuracy_when_true': 0.086, 'precision': 0.3, 'recall': 0.086, 'f1_score': 0.133}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 9516, 'times_true_source': 49, 'times_predicted_source': 220, 'correct_predictions': 30, 'avg_prediction_prob': -2.71, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 34.653, 'avg_prob_when_true': 6.647, 'in_top3_when_true': 40, 'in_top5_when_true': 40, 'accuracy_when_true': 0.612, 'precision': 0.136, 'recall': 0.612, 'f1_score': 0.223}}",bs_500_600_fr
baseline_advanced_random_0919_2127,advanced_random,dorothea_500_600,,,,,0.0,246.793,0.002,0.002,0.0,0.013,0.005,0.01,,bs_500_600_rd
baseline_jordan_0919_2127,jordan,dorothea_500_600,,,,,0.0,269.488,0.001,0.002,0.0,1.0,0.001,0.002,,bs_500_600_rd
baseline_overlap_0919_2127,overlap,dorothea_500_600,,,,,0.0,267.444,0.001,0.002,0.0,1.0,0.002,0.002,,bs_500_600_rd
baseline_random_0919_2127,random,dorothea_500_600,,,,,0.002,248.846,0.002,0.002,0.0,0.004,0.005,0.01,,bs_500_600_rd
baseline_smallestSuperset_0919_2127,smallestSuperset,dorothea_500_600,,,,,0.0,260.68,0.001,0.002,0.0,1.0,0.0,0.005,,bs_500_600_rd
gat_0919_2152,gat,dorothea_500_600,500.0,183.0,1.0,0.236,0.007,211.474,0.02,0.019,0.012,0.044,0.015,0.023,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 2496, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 334.0, 'avg_prob_when_true': 0.019, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 2496, 'times_true_source': 17, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 258.529, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 2496, 'times_true_source': 14, 'times_predicted_source': 1025, 'correct_predictions': 14, 'avg_prediction_prob': 0.024, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 0.0, 'avg_prob_when_true': 0.031, 'in_top3_when_true': 14, 'in_top5_when_true': 14, 'accuracy_when_true': 1.0, 'precision': 0.014, 'recall': 1.0, 'f1_score': 0.027}}",bs_500_600_rd
