filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics,run
gat_0923_1013,gat,dorothea_500_1000,500.0,202.0,1.0,0.522,0.005,225.906,0.02,0.019,0.007,0.046,0.012,0.018,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 9, 'correct_predictions': 0, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 63.606, 'avg_prob_when_true': 0.021, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 173, 'correct_predictions': 0, 'avg_prediction_prob': 0.024, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 32.691, 'avg_prob_when_true': 0.024, 'in_top3_when_true': 1, 'in_top5_when_true': 1, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 368, 'correct_predictions': 0, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 119.674, 'avg_prob_when_true': 0.021, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",bs_500_1000
gat_0925_1725,gat,dorothea_500_1000,500.0,202.0,1.0,0.522,0.005,226.433,0.02,0.019,0.007,0.041,0.013,0.02,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 5, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 66.879, 'avg_prob_when_true': 0.021, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 126, 'correct_predictions': 1, 'avg_prediction_prob': 0.026, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 30.213, 'avg_prob_when_true': 0.025, 'in_top3_when_true': 1, 'in_top5_when_true': 1, 'accuracy_when_true': 0.011, 'precision': 0.008, 'recall': 0.011, 'f1_score': 0.009}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 1657, 'correct_predictions': 0, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 207.843, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",bs_500_1000
gat_0925_1944,gat,dorothea_500_1000,500.0,202.0,1.0,0.522,0.005,226.412,0.02,0.019,0.007,0.041,0.013,0.021,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 5, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 66.879, 'avg_prob_when_true': 0.021, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 128, 'correct_predictions': 1, 'avg_prediction_prob': 0.026, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 30.213, 'avg_prob_when_true': 0.025, 'in_top3_when_true': 1, 'in_top5_when_true': 1, 'accuracy_when_true': 0.011, 'precision': 0.008, 'recall': 0.011, 'f1_score': 0.009}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 1657, 'correct_predictions': 0, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 207.843, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",bs_500_1000
pdgrapher_0922_2114,pdgrapher,dorothea_500_1000,500.0,202.0,1.0,0.522,0.108,51.208,1.463,-1.169,-10.722,13.459,0.204,0.259,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 21, 'correct_predictions': 10, 'avg_prediction_prob': -0.66, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 71.414, 'avg_prob_when_true': 1.23, 'in_top3_when_true': 22, 'in_top5_when_true': 26, 'accuracy_when_true': 0.101, 'precision': 0.476, 'recall': 0.101, 'f1_score': 0.167}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 130, 'correct_predictions': 18, 'avg_prediction_prob': -0.658, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 61.362, 'avg_prob_when_true': 1.763, 'in_top3_when_true': 30, 'in_top5_when_true': 36, 'accuracy_when_true': 0.191, 'precision': 0.138, 'recall': 0.191, 'f1_score': 0.161}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 411, 'correct_predictions': 10, 'avg_prediction_prob': 0.242, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 28.045, 'avg_prob_when_true': 1.966, 'in_top3_when_true': 30, 'in_top5_when_true': 38, 'accuracy_when_true': 0.112, 'precision': 0.024, 'recall': 0.112, 'f1_score': 0.04}}",bs_500_1000
pdgrapher_0923_1415,pdgrapher,dorothea_500_1000,500.0,202.0,1.0,0.522,0.156,109.984,1.113,-1.09,-32.156,10.553,0.244,0.288,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 52, 'correct_predictions': 21, 'avg_prediction_prob': -0.925, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 73.333, 'avg_prob_when_true': 2.012, 'in_top3_when_true': 39, 'in_top5_when_true': 44, 'accuracy_when_true': 0.212, 'precision': 0.404, 'recall': 0.212, 'f1_score': 0.278}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 98, 'correct_predictions': 21, 'avg_prediction_prob': -1.033, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 108.585, 'avg_prob_when_true': 1.223, 'in_top3_when_true': 28, 'in_top5_when_true': 28, 'accuracy_when_true': 0.223, 'precision': 0.214, 'recall': 0.223, 'f1_score': 0.219}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 248, 'correct_predictions': 5, 'avg_prediction_prob': -3.261, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 189.596, 'avg_prob_when_true': 0.394, 'in_top3_when_true': 12, 'in_top5_when_true': 18, 'accuracy_when_true': 0.056, 'precision': 0.02, 'recall': 0.056, 'f1_score': 0.03}}",bs_500_1000
pdgrapher_0925_1728,pdgrapher,dorothea_500_1000,500.0,202.0,1.0,0.522,0.082,78.801,0.82,-0.646,-8.369,6.934,0.156,0.201,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 48, 'correct_predictions': 15, 'avg_prediction_prob': -0.147, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 45.313, 'avg_prob_when_true': 1.315, 'in_top3_when_true': 28, 'in_top5_when_true': 34, 'accuracy_when_true': 0.152, 'precision': 0.312, 'recall': 0.152, 'f1_score': 0.204}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 138, 'correct_predictions': 13, 'avg_prediction_prob': -0.948, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 157.383, 'avg_prob_when_true': 0.453, 'in_top3_when_true': 20, 'in_top5_when_true': 20, 'accuracy_when_true': 0.138, 'precision': 0.094, 'recall': 0.138, 'f1_score': 0.112}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 594, 'correct_predictions': 16, 'avg_prediction_prob': 0.124, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 46.101, 'avg_prob_when_true': 1.496, 'in_top3_when_true': 27, 'in_top5_when_true': 37, 'accuracy_when_true': 0.18, 'precision': 0.027, 'recall': 0.18, 'f1_score': 0.047}}",bs_500_1000
pdgrapher_0925_2103,pdgrapher,dorothea_500_1000,500.0,202.0,1.0,0.522,0.082,78.801,0.82,-0.646,-8.369,6.934,0.156,0.201,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 48, 'correct_predictions': 15, 'avg_prediction_prob': -0.147, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 45.313, 'avg_prob_when_true': 1.315, 'in_top3_when_true': 28, 'in_top5_when_true': 34, 'accuracy_when_true': 0.152, 'precision': 0.312, 'recall': 0.152, 'f1_score': 0.204}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 138, 'correct_predictions': 13, 'avg_prediction_prob': -0.948, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 157.383, 'avg_prob_when_true': 0.453, 'in_top3_when_true': 20, 'in_top5_when_true': 20, 'accuracy_when_true': 0.138, 'precision': 0.094, 'recall': 0.138, 'f1_score': 0.112}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 594, 'correct_predictions': 16, 'avg_prediction_prob': 0.124, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 46.101, 'avg_prob_when_true': 1.496, 'in_top3_when_true': 27, 'in_top5_when_true': 37, 'accuracy_when_true': 0.18, 'precision': 0.027, 'recall': 0.18, 'f1_score': 0.047}}",bs_500_1000
pdgraphernognn_0925_1925,pdgraphernognn,dorothea_500_1000,500.0,202.0,1.0,0.522,0.063,135.553,-0.132,-2.224,-105.826,9.795,0.116,0.152,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 128, 'correct_predictions': 16, 'avg_prediction_prob': -1.963, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 114.869, 'avg_prob_when_true': -0.08, 'in_top3_when_true': 17, 'in_top5_when_true': 18, 'accuracy_when_true': 0.162, 'precision': 0.125, 'recall': 0.162, 'f1_score': 0.141}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 121, 'correct_predictions': 4, 'avg_prediction_prob': -1.859, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 136.106, 'avg_prob_when_true': -0.206, 'in_top3_when_true': 14, 'in_top5_when_true': 20, 'accuracy_when_true': 0.043, 'precision': 0.033, 'recall': 0.043, 'f1_score': 0.037}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 84, 'correct_predictions': 2, 'avg_prediction_prob': -1.981, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 97.011, 'avg_prob_when_true': 0.225, 'in_top3_when_true': 10, 'in_top5_when_true': 25, 'accuracy_when_true': 0.022, 'precision': 0.024, 'recall': 0.022, 'f1_score': 0.023}}",bs_500_1000
pdgraphernognn_0925_1932,pdgraphernognn,dorothea_500_1000,500.0,202.0,1.0,0.522,0.063,135.553,-0.132,-2.224,-105.826,9.795,0.116,0.152,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 128, 'correct_predictions': 16, 'avg_prediction_prob': -1.963, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 114.869, 'avg_prob_when_true': -0.08, 'in_top3_when_true': 17, 'in_top5_when_true': 18, 'accuracy_when_true': 0.162, 'precision': 0.125, 'recall': 0.162, 'f1_score': 0.141}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 121, 'correct_predictions': 4, 'avg_prediction_prob': -1.859, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 136.106, 'avg_prob_when_true': -0.206, 'in_top3_when_true': 14, 'in_top5_when_true': 20, 'accuracy_when_true': 0.043, 'precision': 0.033, 'recall': 0.043, 'f1_score': 0.037}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 84, 'correct_predictions': 2, 'avg_prediction_prob': -1.981, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 97.011, 'avg_prob_when_true': 0.225, 'in_top3_when_true': 10, 'in_top5_when_true': 25, 'accuracy_when_true': 0.022, 'precision': 0.024, 'recall': 0.022, 'f1_score': 0.023}}",bs_500_1000
baseline_advanced_random_0922_2339,advanced_random,dorothea_500_1000,,,,,0.002,249.133,0.002,0.002,0.0,0.004,0.007,0.011,,bs_500_1000_fr
baseline_jordan_0922_2339,jordan,dorothea_500_1000,,,,,0.003,266.19,0.002,0.002,0.0,1.0,0.012,0.015,,bs_500_1000_fr
baseline_overlap_0922_2339,overlap,dorothea_500_1000,,,,,0.0,260.652,0.002,0.002,0.002,0.002,0.01,0.015,,bs_500_1000_fr
baseline_random_0922_2339,random,dorothea_500_1000,,,,,0.002,249.133,0.002,0.002,0.0,0.004,0.007,0.011,,bs_500_1000_fr
baseline_smallestSuperset_0922_2339,smallestSuperset,dorothea_500_1000,,,,,0.0,260.652,0.002,0.002,0.002,0.002,0.01,0.015,,bs_500_1000_fr
gat_0922_2009,gat,dorothea_500_1000,500.0,202.0,1.0,0.522,0.006,230.446,0.019,0.019,0.009,0.042,0.012,0.016,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 9, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 48.667, 'avg_prob_when_true': 0.022, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 128.819, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 406.056, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",bs_500_1000_fr
gat_0923_1214,gat,dorothea_500_1000,500.0,202.0,1.0,0.522,0.006,231.369,0.019,0.019,0.009,0.04,0.012,0.018,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 9, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 43.141, 'avg_prob_when_true': 0.022, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 111.947, 'avg_prob_when_true': 0.021, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 405.966, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",bs_500_1000_fr
gat_0925_1925,gat,dorothea_500_1000,500.0,202.0,1.0,0.522,0.006,230.867,0.019,0.019,0.01,0.041,0.011,0.017,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 52.707, 'avg_prob_when_true': 0.022, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 102.798, 'avg_prob_when_true': 0.021, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 405.551, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",bs_500_1000_fr
gat_0925_1948,gat,dorothea_500_1000,500.0,202.0,1.0,0.522,0.006,230.867,0.019,0.019,0.01,0.041,0.011,0.017,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 52.707, 'avg_prob_when_true': 0.022, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 102.798, 'avg_prob_when_true': 0.021, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 405.551, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",bs_500_1000_fr
pdgrapher_0922_1945,pdgrapher,dorothea_500_1000,500.0,202.0,1.0,0.522,0.099,92.874,0.959,-0.581,-4.309,17.797,0.165,0.198,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 225, 'correct_predictions': 38, 'avg_prediction_prob': -0.3, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 77.394, 'avg_prob_when_true': 2.376, 'in_top3_when_true': 55, 'in_top5_when_true': 57, 'accuracy_when_true': 0.384, 'precision': 0.169, 'recall': 0.384, 'f1_score': 0.235}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 84, 'correct_predictions': 10, 'avg_prediction_prob': -0.601, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 118.436, 'avg_prob_when_true': 0.671, 'in_top3_when_true': 18, 'in_top5_when_true': 24, 'accuracy_when_true': 0.106, 'precision': 0.119, 'recall': 0.106, 'f1_score': 0.112}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 375, 'correct_predictions': 10, 'avg_prediction_prob': -0.222, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 61.551, 'avg_prob_when_true': 1.48, 'in_top3_when_true': 24, 'in_top5_when_true': 35, 'accuracy_when_true': 0.112, 'precision': 0.027, 'recall': 0.112, 'f1_score': 0.043}}",bs_500_1000_fr
